"filename", "language", "HTML", "TypeScript", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\layouts\frontendPanel\FrontendPanel.component.ts", "TypeScript", 0, 70, 0, 0, 6, 12, 88
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\PlansDetail\PlansDetail.component.html", "HTML", 76, 0, 0, 0, 1, 4, 81
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\PlansDetail\PlansDetail.component.scss", "SCSS", 0, 0, 0, 66, 11, 12, 89
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\PlansDetail\PlansDetail.component.ts", "TypeScript", 0, 73, 0, 0, 0, 9, 82
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\PlansGrid\PlansGrid.component.html", "HTML", 68, 0, 0, 0, 9, 2, 79
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\PlansGrid\PlansGrid.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\PlansGrid\PlansGrid.component.ts", "TypeScript", 0, 41, 0, 0, 0, 5, 46
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\PlansList\PlansList.component.html", "HTML", 66, 0, 0, 0, 11, 2, 79
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\PlansList\PlansList.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\PlansList\PlansList.component.ts", "TypeScript", 0, 41, 0, 0, 0, 4, 45
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\SidebarLayout\SidebarLayout.component.html", "HTML", 56, 0, 0, 0, 2, 2, 60
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\SidebarLayout\SidebarLayout.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\SidebarLayout\SidebarLayout.component.ts", "TypeScript", 0, 77, 0, 0, 0, 16, 93
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\plans.module.ts", "TypeScript", 0, 39, 0, 0, 0, 4, 43
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\plans\plans.routing.ts", "TypeScript", 0, 29, 0, 0, 0, 2, 31
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\services\authentication.service.ts", "TypeScript", 0, 46, 0, 0, 2, 7, 55
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\services\comment.service.ts", "TypeScript", 0, 48, 0, 0, 3, 15, 66
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\services\exercise.service.ts", "TypeScript", 0, 36, 0, 0, 0, 13, 49
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\services\message.service.ts", "TypeScript", 0, 33, 0, 0, 0, 10, 43
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\services\plan.service.ts", "TypeScript", 0, 60, 0, 0, 0, 21, 81
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\services\post.service.ts", "TypeScript", 0, 29, 0, 0, 0, 9, 38
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\services\review.service.ts", "TypeScript", 0, 46, 0, 0, 0, 14, 60
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\services\user.service.ts", "TypeScript", 0, 52, 0, 0, 0, 17, 69
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\ComingSoon\ComingSoon.component.html", "HTML", 20, 0, 0, 0, 4, 2, 26
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\ComingSoon\ComingSoon.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\ComingSoon\ComingSoon.component.ts", "TypeScript", 0, 24, 0, 0, 0, 5, 29
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\ForgotPassword\ForgotPassword.component.html", "HTML", 45, 0, 0, 0, 0, 4, 49
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\ForgotPassword\ForgotPassword.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\ForgotPassword\ForgotPassword.component.ts", "TypeScript", 0, 14, 0, 0, 0, 6, 20
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\Login\Login.component.html", "HTML", 60, 0, 0, 0, 0, 0, 60
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\Login\Login.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\Login\Login.component.ts", "TypeScript", 0, 58, 0, 0, 1, 10, 69
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\SignUp\SignUp.component.html", "HTML", 72, 0, 0, 0, 0, 2, 74
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\SignUp\SignUp.component.scss", "SCSS", 0, 0, 0, 13, 0, 1, 14
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\SignUp\SignUp.component.ts", "TypeScript", 0, 46, 0, 0, 0, 8, 54
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\session.module.ts", "TypeScript", 0, 24, 0, 0, 0, 5, 29
"c:\Users\44421\Desktop\sveikataAPI-master\sveikata\ClientApp\src\app\session\session.routing.ts", "TypeScript", 0, 25, 0, 0, 0, 3, 28
"Total", "-", 1493, 2797, 0, 562, 260, 667, 5779
